Adres girin : ['SRX', '/ilan/vasita-arazi-suv-pick-up-cadillac-cadillac-tramer-kaydi-olmayan%2C92000-mil-de-temiz%2Cmasrafsiz-519914248/detay', ' 128.500 TL', '15 Ocak', 'İzmirBornova', '2005', '92.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-br-6-komple-zirhli-cadillac-escalade-501365965/detay', ' 260.000 TL', '15 Ocak', 'İstanbulSarıyer', '2005', '141.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-s-class-2016-cadillac-escalade-platinium-7-kisilik-boyasiz-502595801/detay', ' 855.000 TL', '15 Ocak', 'İstanbulKadıköy', '2016', '23.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-sahibinden-emsalsiz-escalade-platinium-hatasiz-519996861/detay', '€ 180.000 ', '15 Ocak', 'İstanbulBeykoz', '2016', '19.500', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-avrupa-versiyon-escalade-platinum-siyah-taba-3.sira-koltuk-8-vit-519878528/detay', '€ 258.000 ', '15 Ocak', 'İstanbulBakırköy', '2017', '0', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-eagle-motors-dan-2012-escalade-6.0-v8-hybrid-platinium-boyasiz-448687504/detay', ' 425.000 TL', '15 Ocak', 'İstanbulKartal', '2012', '60.000', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-ran-motors-2010-cadillac-escalade-6.0-v8-hybrid-7-kisilik-424115816/detay', ' 247.500 TL', '14 Ocak', 'İstanbulBağcılar', '2010', '131.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-sahibinden-satilik-519593080/detay', '€ 270.000 ', '14 Ocak', 'İstanbulBeşiktaş', '2017', '250', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-edition-motors-cadillac-escalade-platiniums-7-kisilik-511241446/detay', '€ 185.000 ', '14 Ocak', 'İstanbulBeşiktaş', '2015', '24.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-fame-motors-2007-escalade-6.2-v8-tertemiz-520001611/detay', ' 210.000 TL', '15 Ocak', 'İstanbulAtaşehir', '2007', '150.320', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-2014-cadillac-escalade-degisen-ve-boya-yok-ful-orjinal-478483851/detay', ' 800.000 TL', '10 Ocak', 'İstanbulBahçelievler', '2014', '67.000', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-cadillac-escalade-6.2-platinium-isitma-sogutma-bose-elek.basamak-448148305/detay', ' 785.000 TL', '15 Ocak', 'AnkaraÇankaya', '2015', '32.000', 'Beyaz']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-kalyon-motors-2017-cadillac-new-escelade-6.2v8-platinium-full-492390242/detay', '€ 249.000 ', '14 Ocak', 'İstanbulBeşiktaş', '2017', '0', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-cadillac-escalade-modifiyeli-yeni-gorunum10-gunluk-fiyat-314247255/detay', ' 94.000 TL', '09 Ocak', 'MuğlaFethiye', '2004', '250.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-hd-motorlu-araclar-2017-escalade-yeni-tip-platinium-full-plusfull-491393796/detay', '€ 257.000 ', '11 Ocak', 'İstanbulKadıköy', '2017', '0', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-hatasiz-boyasiz-servis-bakimli-eksiksiz-sahibinden-platinum-517728668/detay', ' 217.500 TL', '07 Ocak', 'İstanbulPendik', '2008', '85.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-hk-motors-2008-kusurusuz-prestige-escalade-488440806/detay', ' 183.000 TL', '10 Ocak', 'İstanbulBahçelievler', '2008', '96.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-hatasiz-emsalsiz-cadillac-escalade-ext-2004-askin-jeep-ten-293650650/detay', ' 120.000 TL', '12 Ocak', 'İstanbulKadıköy', '2004', '150.000', 'Siyah']
['Escalade', '/ilan/vasita-arazi-suv-pick-up-cadillac-2014-cadillac-escalade-6.2-v8-eu-yeni-versiyon-518461256/detay', '€ 162.200 ', '10 Ocak', 'İstanbulBüyükçekmece', '2014', '70.000', 'Beyaz']
